id,nome,type1,type2,ps,att,dif,attsp,difsp,vel
329,vibrava,terra,drago,50,70,50,50,50
330,flygon,terra,drago,80,100,80,80,80
331,cacnea,erba,,50,85,40,85,40
332,cacturne,erba,buio,70,115,60,115,60
333,swablu,normale,volante,45,40,60,40,75
334,altaria,drago,volante,75,70,90,70,105
335,zangoose,normale,,73,115,60,60,60
336,seviper,veleno,,73,100,60,100,60
337,lunatone,roccia,psico,90,55,65,95,85
338,solrock,roccia,psico,90,95,85,55,65
339,barboach,acqua,terra,50,48,43,46,41
340,whiscash,acqua,terra,110,78,73,76,71
341,corphish,acqua,,43,80,65,50,35
342,crawdaunt,acqua,buio,63,120,85,90,55
343,baltoy,terra,psico,40,40,55,40,70
344,claydol,terra,psico,60,70,105,70,120
345,lileep,roccia,erba,66,41,77,61,87
346,cradily,roccia,erba,86,81,97,81,107
347,anorith,roccia,coleottero,45,95,50,40,50
348,armaldo,roccia,coleottero,75,125,100,70,80
349,feebas,acqua,,20,15,20,10,55
350,milotic,acqua,,95,60,79,100,125
351,castform,normale,,70,70,70,70,70
352,kecleon,normale,,60,90,70,60,120
353,shuppet,spettro,,44,75,35,63,33
354,banette,spettro,,64,115,65,83,63
355,duskull,spettro,,20,40,90,30,90
356,dusclops,spettro,,40,70,130,60,130
357,tropius,erba,volante,99,68,83,72,87
358,chimecho,psico,,75,50,80,95,90
359,absol,buio,,65,130,60,75,60
360,wynaut,psico,,95,23,48,23,48
361,snorunt,ghiaccio,,50,50,50,50,50
362,glalie,ghiaccio,,80,80,80,80,80
363,spheal,ghiaccio,acqua,70,40,50,55,50
364,sealeo,ghiaccio,acqua,90,60,70,75,70
365,walrein,ghiaccio,acqua,110,80,90,95,90
366,clamperl,acqua,,35,64,85,74,55
367,huntail,acqua,,55,104,105,94,75
368,gorebyss,acqua,,55,84,105,114,75
369,relicanth,acqua,roccia,100,90,130,45,65
370,luvdisc,acqua,,43,30,55,40,65
371,bagon,drago,,45,75,60,40,30
372,shelgon,drago,,65,95,100,60,50
373,salamence,drago,volante,95,135,80,110,80
374,beldum,acciaio,psico,40,55,80,35,60
375,metang,acciaio,psico,60,75,100,55,80
376,metagross,acciaio,psico,80,135,130,95,90
377,regirock,roccia,,80,100,200,50,100
378,regice,ghiaccio,,80,50,100,100,200
379,registeel,acciaio,,80,75,150,75,150
380,latias,drago,psico,80,80,90,110,130
381,latios,drago,psico,80,90,80,130,110
382,kyogre,acqua,,100,100,90,150,140
383,groudon,terra,,100,150,140,100,90
384,rayquaza,drago,volante,105,150,90,150,90
385,jirachi,acciaio,psico,100,100,100,100,100
386,deoxys-normal,psico,,50,150,50,150,50
387,turtwig,erba,,55,68,64,45,55
388,grotle,erba,,75,89,85,55,65
389,torterra,erba,terra,95,109,105,75,85
390,chimchar,fuoco,,44,58,44,58,44
391,monferno,fuoco,lotta,64,78,52,78,52
392,infernape,fuoco,lotta,76,104,71,104,71
393,piplup,acqua,,53,51,53,61,56
394,prinplup,acqua,,64,66,68,81,76
395,empoleon,acqua,acciaio,84,86,88,111,101
396,starly,normale,volante,40,55,30,30,30
397,staravia,normale,volante,55,75,50,40,40
398,staraptor,normale,volante,85,120,70,50,60
399,bidoof,normale,,59,45,40,35,40
400,bibarel,normale,acqua,79,85,60,55,60
401,kricketot,coleottero,,37,25,41,25,41
402,kricketune,coleottero,,77,85,51,55,51
403,shinx,elettro,,45,65,34,40,34
404,luxio,elettro,,60,85,49,60,49
405,luxray,elettro,,80,120,79,95,79
406,budew,erba,veleno,40,30,35,50,70
407,roserade,erba,veleno,60,70,65,125,105
408,cranidos,roccia,,67,125,40,30,30
409,rampardos,roccia,,97,165,60,65,50
410,shieldon,roccia,acciaio,30,42,118,42,88
411,bastiodon,roccia,acciaio,60,52,168,47,138
412,burmy,coleottero,,40,29,45,29,45
413,wormadam-plant,coleottero,erba,60,59,85,79,105
414,mothim,coleottero,volante,70,94,50,94,50
415,combee,coleottero,volante,30,30,42,30,42
416,vespiquen,coleottero,volante,70,80,102,80,102
417,pachirisu,elettro,,60,45,70,45,90
418,buizel,acqua,,55,65,35,60,30
419,floatzel,acqua,,85,105,55,85,50
420,cherubi,erba,,45,35,45,62,53
421,cherrim,erba,,70,60,70,87,78
422,shellos,acqua,,76,48,48,57,62
423,gastrodon,acqua,terra,111,83,68,92,82
424,ambipom,normale,,75,100,66,60,66
425,drifloon,spettro,volante,90,50,34,60,44
426,drifblim,spettro,volante,150,80,44,90,54
427,buneary,normale,,55,66,44,44,56
428,lopunny,normale,,65,76,84,54,96
429,mismagius,spettro,,60,60,60,105,105
430,honchkrow,buio,volante,100,125,52,105,52
431,glameow,normale,,49,55,42,42,37
432,purugly,normale,,71,82,64,64,59
433,chingling,psico,,45,30,50,65,50
434,stunky,veleno,buio,63,63,47,41,41
435,skuntank,veleno,buio,103,93,67,71,61
436,bronzor,acciaio,psico,57,24,86,24,86
437,bronzong,acciaio,psico,67,89,116,79,116
438,bonsly,roccia,,50,80,95,10,45
439,mime-jr,psico,folletto,20,25,45,70,90
440,happiny,normale,,100,5,5,15,65
441,chatot,normale,volante,76,65,45,92,42
442,spiritomb,spettro,buio,50,92,108,92,108
443,gible,drago,terra,58,70,45,40,45
444,gabite,drago,terra,68,90,65,50,55
445,garchomp,drago,terra,108,130,95,80,85
446,munchlax,normale,,135,85,40,40,85
447,riolu,lotta,,40,70,40,35,40
448,lucario,lotta,acciaio,70,110,70,115,70
449,hippopotas,terra,,68,72,78,38,42
450,hippowdon,terra,,108,112,118,68,72
451,skorupi,veleno,coleottero,40,50,90,30,55
452,drapion,veleno,buio,70,90,110,60,75
453,croagunk,veleno,lotta,48,61,40,61,40
454,toxicroak,veleno,lotta,83,106,65,86,65
455,carnivine,erba,,74,100,72,90,72
456,finneon,acqua,,49,49,56,49,61
457,lumineon,acqua,,69,69,76,69,86
458,mantyke,acqua,volante,45,20,50,60,120
459,snover,erba,ghiaccio,60,62,50,62,60
460,abomasnow,erba,ghiaccio,90,92,75,92,85
461,weavile,buio,ghiaccio,70,120,65,45,85
462,magnezone,elettro,acciaio,70,70,115,130,90
463,lickilicky,normale,,110,85,95,80,95
464,rhyperior,terra,roccia,115,140,130,55,55
465,tangrowth,erba,,100,100,125,110,50
466,electivire,elettro,,75,123,67,95,85
467,magmortar,fuoco,,75,95,67,125,95
468,togekiss,folletto,volante,85,50,95,120,115
469,yanmega,coleottero,volante,86,76,86,116,56
470,leafeon,erba,,65,110,130,60,65
471,glaceon,ghiaccio,,65,60,110,130,95
472,gliscor,terra,volante,75,95,125,45,75
473,mamoswine,ghiaccio,terra,110,130,80,70,60
474,porygon-z,normale,,85,80,70,135,75
475,gallade,psico,lotta,68,125,65,65,115
476,probopass,roccia,acciaio,60,55,145,75,150
477,dusknoir,spettro,,45,100,135,65,135
478,froslass,ghiaccio,spettro,70,80,70,80,70
479,rotom,elettro,spettro,50,50,77,95,77
480,uxie,psico,,75,75,130,75,130
481,mesprit,psico,,80,105,105,105,105
482,azelf,psico,,75,125,70,125,70
483,dialga,acciaio,drago,100,120,120,150,100
484,palkia,acqua,drago,90,120,100,150,120
485,heatran,fuoco,acciaio,91,90,106,130,106
486,regigigas,normale,,110,160,110,80,110
487,giratina-altered,spettro,drago,150,100,120,100,120
488,cresselia,psico,,120,70,120,75,130
489,phione,acqua,,80,80,80,80,80
490,manaphy,acqua,,100,100,100,100,100
491,darkrai,buio,,70,90,90,135,90
492,shaymin-land,erba,,100,100,100,100,100
493,arceus,normale,,120,120,120,120,120
494,victini,psico,fuoco,100,100,100,100,100
495,snivy,erba,,45,45,55,45,55
496,servine,erba,,60,60,75,60,75
497,serperior,erba,,75,75,95,75,95
498,tepig,fuoco,,65,63,45,45,45
499,pignite,fuoco,lotta,90,93,55,70,55
500,emboar,fuoco,lotta,110,123,65,100,65
501,oshawott,acqua,,55,55,45,63,45
502,dewott,acqua,,75,75,60,83,60
503,samurott,acqua,,95,100,85,108,70
504,patrat,normale,,45,55,39,35,39
505,watchog,normale,,60,85,69,60,69
506,lillipup,normale,,45,60,45,25,45
507,herdier,normale,,65,80,65,35,65
508,stoutland,normale,,85,110,90,45,90
509,purrloin,buio,,41,50,37,50,37
510,liepard,buio,,64,88,50,88,50
511,pansage,erba,,50,53,48,53,48
512,simisage,erba,,75,98,63,98,63
513,pansear,fuoco,,50,53,48,53,48
514,simisear,fuoco,,75,98,63,98,63
515,panpour,acqua,,50,53,48,53,48
516,simipour,acqua,,75,98,63,98,63
517,munna,psico,,76,25,45,67,55
518,musharna,psico,,116,55,85,107,95
519,pidove,normale,volante,50,55,50,36,30
520,tranquill,normale,volante,62,77,62,50,42
521,unfezant,normale,volante,80,115,80,65,55
522,blitzle,elettro,,45,60,32,50,32
523,zebstrika,elettro,,75,100,63,80,63
524,roggenrola,roccia,,55,75,85,25,25
525,boldore,roccia,,70,105,105,50,40
526,gigalith,roccia,,85,135,130,60,80
527,woobat,psico,volante,65,45,43,55,43
528,swoobat,psico,volante,67,57,55,77,55
529,drilbur,terra,,60,85,40,30,45
530,excadrill,terra,acciaio,110,135,60,50,65
531,audino,normale,,103,60,86,60,86
532,timburr,lotta,,75,80,55,25,35
533,gurdurr,lotta,,85,105,85,40,50
534,conkeldurr,lotta,,105,140,95,55,65
535,tympole,acqua,,50,50,40,50,40
536,palpitoad,acqua,terra,75,65,55,65,55
537,seismitoad,acqua,terra,105,95,75,85,75
538,throh,lotta,,120,100,85,30,85
539,sawk,lotta,,75,125,75,30,75
540,sewaddle,coleottero,erba,45,53,70,40,60
541,swadloon,coleottero,erba,55,63,90,50,80
542,leavanny,coleottero,erba,75,103,80,70,80
543,venipede,coleottero,veleno,30,45,59,30,39
544,whirlipede,coleottero,veleno,40,55,99,40,79
545,scolipede,coleottero,veleno,60,100,89,55,69
546,cottonee,erba,folletto,40,27,60,37,50
547,whimsicott,erba,folletto,60,67,85,77,75
548,petilil,erba,,45,35,50,70,50
549,lilligant,erba,,70,60,75,110,75
550,basculin-red-striped,acqua,,70,92,65,80,55
551,sandile,terra,buio,50,72,35,35,35
552,krokorok,terra,buio,60,82,45,45,45
553,krookodile,terra,buio,95,117,80,65,70
554,darumaka,fuoco,,70,90,45,15,45
555,darmanitan-standard,fuoco,,105,140,55,30,55
556,maractus,erba,,75,86,67,106,67
557,dwebble,coleottero,roccia,50,65,85,35,35
558,crustle,coleottero,roccia,70,105,125,65,75
559,scraggy,buio,lotta,50,75,70,35,70
560,scrafty,buio,lotta,65,90,115,45,115
561,sigilyph,psico,volante,72,58,80,103,80
562,yamask,spettro,,38,30,85,55,65
563,cofagrigus,spettro,,58,50,145,95,105
564,tirtouga,acqua,roccia,54,78,103,53,45
565,carracosta,acqua,roccia,74,108,133,83,65
566,archen,roccia,volante,55,112,45,74,45
567,archeops,roccia,volante,75,140,65,112,65
568,trubbish,veleno,,50,50,62,40,62
569,garbodor,veleno,,80,95,82,60,82
570,zorua,buio,,40,65,40,80,40
571,zoroark,buio,,60,105,60,120,60
572,minccino,normale,,55,50,40,40,40
573,cinccino,normale,,75,95,60,65,60
574,gothita,psico,,45,30,50,55,65
575,gothorita,psico,,60,45,70,75,85
576,gothitelle,psico,,70,55,95,95,110
577,solosis,psico,,45,30,40,105,50
578,duosion,psico,,65,40,50,125,60
579,reuniclus,psico,,110,65,75,125,85
580,ducklett,acqua,volante,62,44,50,44,50
581,swanna,acqua,volante,75,87,63,87,63
582,vanillite,ghiaccio,,36,50,50,65,60
583,vanillish,ghiaccio,,51,65,65,80,75
584,vanilluxe,ghiaccio,,71,95,85,110,95
585,deerling,normale,erba,60,60,50,40,50
586,sawsbuck,normale,erba,80,100,70,60,70
587,emolga,elettro,volante,55,75,60,75,60
588,karrablast,coleottero,,50,75,45,40,45
589,escavalier,coleottero,acciaio,70,135,105,60,105
590,foongus,erba,veleno,69,55,45,55,55
591,amoonguss,erba,veleno,114,85,70,85,80
592,frillish,acqua,spettro,55,40,50,65,85
593,jellicent,acqua,spettro,100,60,70,85,105
594,alomomola,acqua,,165,75,80,40,45
595,joltik,coleottero,elettro,50,47,50,57,50
596,galvantula,coleottero,elettro,70,77,60,97,60
597,ferroseed,erba,acciaio,44,50,91,24,86
598,ferrothorn,erba,acciaio,74,94,131,54,116
599,klink,acciaio,,40,55,70,45,60
600,klang,acciaio,,60,80,95,70,85
601,klinklang,acciaio,,60,100,115,70,85
602,tynamo,elettro,,35,55,40,45,40
603,eelektrik,elettro,,65,85,70,75,70
604,eelektross,elettro,,85,115,80,105,80
605,elgyem,psico,,55,55,55,85,55
606,beheeyem,psico,,75,75,75,125,95
607,litwick,spettro,fuoco,50,30,55,65,55
608,lampent,spettro,fuoco,60,40,60,95,60
609,chandelure,spettro,fuoco,60,55,90,145,90
610,axew,drago,,46,87,60,30,40
611,fraxure,drago,,66,117,70,40,50
612,haxorus,drago,,76,147,90,60,70
613,cubchoo,ghiaccio,,55,70,40,60,40
614,beartic,ghiaccio,,95,130,80,70,80
615,cryogonal,ghiaccio,,80,50,50,95,135
616,shelmet,coleottero,,50,40,85,40,65
617,accelgor,coleottero,,80,70,40,100,60
618,stunfisk,terra,elettro,109,66,84,81,99
619,mienfoo,lotta,,45,85,50,55,50
620,mienshao,lotta,,65,125,60,95,60
621,druddigon,drago,,77,120,90,60,90
622,golett,terra,spettro,59,74,50,35,50
623,golurk,terra,spettro,89,124,80,55,80
624,pawniard,buio,acciaio,45,85,70,40,40
625,bisharp,buio,acciaio,65,125,100,60,70
626,bouffalant,normale,,95,110,95,40,95
627,rufflet,normale,volante,70,83,50,37,50
628,braviary,normale,volante,100,123,75,57,75
629,vullaby,buio,volante,70,55,75,45,65
630,mandibuzz,buio,volante,110,65,105,55,95
631,heatmor,fuoco,,85,97,66,105,66
632,durant,coleottero,acciaio,58,109,112,48,48
633,deino,buio,drago,52,65,50,45,50
634,zweilous,buio,drago,72,85,70,65,70
635,hydreigon,buio,drago,92,105,90,125,90
636,larvesta,coleottero,fuoco,55,85,55,50,55
637,volcarona,coleottero,fuoco,85,60,65,135,105
638,cobalion,acciaio,lotta,91,90,129,90,72
639,terrakion,roccia,lotta,91,129,90,72,90
640,virizion,erba,lotta,91,90,72,90,129
641,tornadus-incarnate,volante,,79,115,70,125,80
642,thundurus-incarnate,elettro,volante,79,115,70,125,80
643,reshiram,drago,fuoco,100,120,100,150,120
644,zekrom,drago,elettro,100,150,120,120,100
645,landorus-incarnate,terra,volante,89,125,90,115,80
646,kyurem,drago,ghiaccio,125,130,90,130,90
647,keldeo-ordinary,acqua,lotta,91,72,90,129,90
648,meloetta-aria,normale,psico,100,77,77,128,128
649,genesect,coleottero,acciaio,71,120,95,120,95
