id;name
28;azione
41;pistolacqua
66;confusione
25;bottintesta
188;idropulsar
233;cozzata zen
67;psichico
263;psicoshock
128;introforza
44;geloraggio
45;bora
49;iper raggio
64;terremoto
65;fossa
134;palla ombra
146;breccia
40;lanciafiamme
76;fuocobomba
175;aeroassalto
141;facciata
274;coro
275;echeggiavoce
218;focalcolpo
279;idrovampata
283;bruciatutto
222;gigaimpatto
292;battiterra
84;mangiasogni
136;spaccaroccia
148;forzasegreta
43;surf
53;forza
149;sub
327;rutto
135;divinazione
101;russare
20;pestone
208;idrondata
216;assorbipugno
142;centripugno
273;ripicca
8;gelopugno
110;ventogelato
125;codacciaio
168;segnoraggio
